source_id,target_id,relationship_type,claim_id
CLM_000009,BRO_000065,policy_sold_by,CLM_000009
CLM_000009,ADJ_000066,handled_by,CLM_000009
CLM_000009,MED_000067,visited_clinic,CLM_000009
CLM_000009,WIT_000068,witnessed_by,CLM_000009
CLA_000069,CLM_000010,filed_claim,CLM_000010
CLA_000069,ADD_000071,lives_at,CLM_000010
CLA_000069,PHO_000072,uses_phone,CLM_000010
CLM_000010,VEH_000070,involves_vehicle,CLM_000010
CLM_000010,REP_000073,used_repair_shop,CLM_000010
CLM_000010,BRO_000074,policy_sold_by,CLM_000010
CLM_000010,ADJ_000075,handled_by,CLM_000010
CLA_000076,CLM_000011,filed_claim,CLM_000011
CLA_000076,ADD_000078,lives_at,CLM_000011
CLA_000076,PHO_000079,uses_phone,CLM_000011
CLM_000011,VEH_000077,involves_vehicle,CLM_000011
CLM_000011,REP_000080,used_repair_shop,CLM_000011
CLM_000011,BRO_000081,policy_sold_by,CLM_000011
CLM_000011,ADJ_000082,handled_by,CLM_000011
CLM_000011,WIT_000083,witnessed_by,CLM_000011
CLA_000084,CLM_000012,filed_claim,CLM_000012
CLA_000084,ADD_000086,lives_at,CLM_000012
CLA_000084,PHO_000087,uses_phone,CLM_000012
CLM_000012,VEH_000085,involves_vehicle,CLM_000012
CLM_000012,REP_000088,used_repair_shop,CLM_000012
CLM_000012,BRO_000089,policy_sold_by,CLM_000012
CLM_000012,ADJ_000090,handled_by,CLM_000012
CLA_000091,CLM_000013,filed_claim,CLM_000013
CLA_000091,ADD_000093,lives_at,CLM_000013
CLA_000091,PHO_000094,uses_phone,CLM_000013
CLM_000013,VEH_000092,involves_vehicle,CLM_000013
CLM_000013,REP_000095,used_repair_shop,CLM_000013
CLM_000013,BRO_000096,policy_sold_by,CLM_000013
CLM_000013,ADJ_000097,handled_by,CLM_000013
CLM_000013,MED_000098,visited_clinic,CLM_000013
CLM_000013,WIT_000099,witnessed_by,CLM_000013
CLA_000100,CLM_000014,filed_claim,CLM_000014
CLA_000100,ADD_000102,lives_at,CLM_000014
CLA_000100,PHO_000103,uses_phone,CLM_000014
CLM_000014,VEH_000101,involves_vehicle,CLM_000014
CLM_000014,REP_000104,used_repair_shop,CLM_000014
CLM_000014,BRO_000105,policy_sold_by,CLM_000014
CLM_000014,ADJ_000106,handled_by,CLM_000014
CLA_000107,CLM_000015,filed_claim,CLM_000015
CLA_000107,ADD_000109,lives_at,CLM_000015
CLA_000107,PHO_000110,uses_phone,CLM_000015
CLM_000015,VEH_000108,involves_vehicle,CLM_000015
CLM_000015,REP_000111,used_repair_shop,CLM_000015
CLM_000015,BRO_000112,policy_sold_by,CLM_000015
CLM_000015,ADJ_000113,handled_by,CLM_000015
CLA_000114,CLM_000016,filed_claim,CLM_000016
CLA_000114,ADD_000116,lives_at,CLM_000016
CLA_000114,PHO_000117,uses_phone,CLM_000016
CLM_000016,VEH_000115,involves_vehicle,CLM_000016
CLM_000016,REP_000118,used_repair_shop,CLM_000016
CLM_000016,BRO_000119,policy_sold_by,CLM_000016
CLM_000016,ADJ_000120,handled_by,CLM_000016
CLA_000121,CLM_000017,filed_claim,CLM_000017
CLA_000121,ADD_000123,lives_at,CLM_000017
CLA_000121,PHO_000124,uses_phone,CLM_000017
CLM_000017,VEH_000122,involves_vehicle,CLM_000017
CLM_000017,REP_000125,used_repair_shop,CLM_000017
CLM_000017,BRO_000126,policy_sold_by,CLM_000017
CLM_000017,ADJ_000127,handled_by,CLM_000017
CLM_000017,WIT_000128,witnessed_by,CLM_000017
CLA_000129,CLM_000018,filed_claim,CLM_000018
CLA_000129,ADD_000131,lives_at,CLM_000018
CLA_000129,PHO_000132,uses_phone,CLM_000018
CLM_000018,VEH_000130,involves_vehicle,CLM_000018
CLM_000018,REP_000133,used_repair_shop,CLM_000018
CLM_000018,BRO_000134,policy_sold_by,CLM_000018
CLM_000018,ADJ_000135,handled_by,CLM_000018
CLM_000018,MED_000136,visited_clinic,CLM_000018
CLM_000018,WIT_000137,witnessed_by,CLM_000018
CLA_000138,CLM_000019,filed_claim,CLM_000019
CLA_000138,ADD_000140,lives_at,CLM_000019
CLA_000138,PHO_000141,uses_phone,CLM_000019
CLM_000019,VEH_000139,involves_vehicle,CLM_000019
CLM_000019,REP_000142,used_repair_shop,CLM_000019
CLM_000019,BRO_000143,policy_sold_by,CLM_000019
CLM_000019,ADJ_000144,handled_by,CLM_000019
CLM_000019,MED_000145,visited_clinic,CLM_000019
CLA_000146,CLM_000020,filed_claim,CLM_000020
CLA_000146,ADD_000148,lives_at,CLM_000020
CLA_000146,PHO_000149,uses_phone,CLM_000020
CLM_000020,VEH_000147,involves_vehicle,CLM_000020
CLM_000020,REP_000150,used_repair_shop,CLM_000020
CLM_000020,BRO_000151,policy_sold_by,CLM_000020
CLM_000020,ADJ_000152,handled_by,CLM_000020
CLA_000153,CLM_000021,filed_claim,CLM_000021
CLA_000153,ADD_000155,lives_at,CLM_000021
CLA_000153,PHO_000156,uses_phone,CLM_000021
CLM_000021,VEH_000154,involves_vehicle,CLM_000021
CLM_000021,REP_000157,used_repair_shop,CLM_000021
CLM_000021,BRO_000158,policy_sold_by,CLM_000021
CLM_000021,ADJ_000159,handled_by,CLM_000021
CLM_000021,TOW_000160,used_tow_company,CLM_000021
CLA_000161,CLM_000022,filed_claim,CLM_000022
CLA_000161,ADD_000163,lives_at,CLM_000022
CLA_000161,PHO_000164,uses_phone,CLM_000022
CLM_000022,VEH_000162,involves_vehicle,CLM_000022
CLM_000022,REP_000165,used_repair_shop,CLM_000022
CLM_000022,BRO_000166,policy_sold_by,CLM_000022
CLM_000022,ADJ_000167,handled_by,CLM_000022
CLA_000168,CLM_000023,filed_claim,CLM_000023
CLA_000168,ADD_000170,lives_at,CLM_000023
CLA_000168,PHO_000171,uses_phone,CLM_000023
CLM_000023,VEH_000169,involves_vehicle,CLM_000023
CLM_000023,REP_000172,used_repair_shop,CLM_000023
CLM_000023,BRO_000173,policy_sold_by,CLM_000023
CLM_000023,ADJ_000174,handled_by,CLM_000023
CLM_000023,MED_000175,visited_clinic,CLM_000023
CLM_000023,LAW_000176,retained_lawyer,CLM_000023
CLM_000023,TOW_000177,used_tow_company,CLM_000023
CLA_000178,CLM_000024,filed_claim,CLM_000024
CLA_000178,ADD_000180,lives_at,CLM_000024
CLA_000178,PHO_000181,uses_phone,CLM_000024
CLM_000024,VEH_000179,involves_vehicle,CLM_000024
CLM_000024,REP_000182,used_repair_shop,CLM_000024
CLM_000024,BRO_000183,policy_sold_by,CLM_000024
CLM_000024,ADJ_000184,handled_by,CLM_000024
CLA_000185,CLM_000025,filed_claim,CLM_000025
CLA_000185,ADD_000187,lives_at,CLM_000025
CLA_000185,PHO_000188,uses_phone,CLM_000025
CLM_000025,VEH_000186,involves_vehicle,CLM_000025
CLM_000025,REP_000189,used_repair_shop,CLM_000025
CLM_000025,BRO_000190,policy_sold_by,CLM_000025
CLM_000025,ADJ_000191,handled_by,CLM_000025
CLA_000192,CLM_000026,filed_claim,CLM_000026
CLA_000192,ADD_000194,lives_at,CLM_000026
CLA_000192,PHO_000195,uses_phone,CLM_000026
CLM_000026,VEH_000193,involves_vehicle,CLM_000026
CLM_000026,REP_000196,used_repair_shop,CLM_000026
CLM_000026,BRO_000197,policy_sold_by,CLM_000026
CLM_000026,ADJ_000198,handled_by,CLM_000026
CLA_000199,CLM_000027,filed_claim,CLM_000027
CLA_000199,ADD_000201,lives_at,CLM_000027
CLA_000199,PHO_000202,uses_phone,CLM_000027
CLM_000027,VEH_000200,involves_vehicle,CLM_000027
CLM_000027,REP_000203,used_repair_shop,CLM_000027
CLM_000027,BRO_000204,policy_sold_by,CLM_000027
CLM_000027,ADJ_000205,handled_by,CLM_000027
CLA_000206,CLM_000028,filed_claim,CLM_000028
CLA_000206,ADD_000208,lives_at,CLM_000028
CLA_000206,PHO_000209,uses_phone,CLM_000028
CLM_000028,VEH_000207,involves_vehicle,CLM_000028
CLM_000028,REP_000210,used_repair_shop,CLM_000028
CLM_000028,BRO_000211,policy_sold_by,CLM_000028
CLM_000028,ADJ_000212,handled_by,CLM_000028
CLM_000028,MED_000213,visited_clinic,CLM_000028
CLM_000028,TOW_000214,used_tow_company,CLM_000028
CLA_000215,CLM_000029,filed_claim,CLM_000029
CLA_000215,ADD_000217,lives_at,CLM_000029
CLA_000215,PHO_000218,uses_phone,CLM_000029
CLM_000029,VEH_000216,involves_vehicle,CLM_000029
CLM_000029,REP_000219,used_repair_shop,CLM_000029
CLM_000029,BRO_000220,policy_sold_by,CLM_000029
CLM_000029,ADJ_000221,handled_by,CLM_000029
CLM_000029,MED_000222,visited_clinic,CLM_000029
CLA_000223,CLM_000030,filed_claim,CLM_000030
CLA_000223,ADD_000225,lives_at,CLM_000030
CLA_000223,PHO_000226,uses_phone,CLM_000030
CLM_000030,VEH_000224,involves_vehicle,CLM_000030
CLM_000030,REP_000227,used_repair_shop,CLM_000030
CLM_000030,BRO_000228,policy_sold_by,CLM_000030
CLM_000030,ADJ_000229,handled_by,CLM_000030
CLM_000030,MED_000230,visited_clinic,CLM_000030
CLA_000231,CLM_000031,filed_claim,CLM_000031
CLA_000231,ADD_000233,lives_at,CLM_000031
CLA_000231,PHO_000234,uses_phone,CLM_000031
CLM_000031,VEH_000232,involves_vehicle,CLM_000031
CLM_000031,REP_000235,used_repair_shop,CLM_000031
CLM_000031,BRO_000236,policy_sold_by,CLM_000031
CLM_000031,ADJ_000237,handled_by,CLM_000031
CLM_000031,TOW_000238,used_tow_company,CLM_000031
CLA_000239,CLM_000032,filed_claim,CLM_000032
CLA_000239,ADD_000241,lives_at,CLM_000032
CLA_000239,PHO_000242,uses_phone,CLM_000032
CLM_000032,VEH_000240,involves_vehicle,CLM_000032
CLM_000032,REP_000243,used_repair_shop,CLM_000032
CLM_000032,BRO_000244,policy_sold_by,CLM_000032
CLM_000032,ADJ_000245,handled_by,CLM_000032
CLM_000032,TOW_000246,used_tow_company,CLM_000032
CLA_000247,CLM_000033,filed_claim,CLM_000033
CLA_000247,ADD_000249,lives_at,CLM_000033
CLA_000247,PHO_000250,uses_phone,CLM_000033
CLM_000033,VEH_000248,involves_vehicle,CLM_000033
CLM_000033,REP_000251,used_repair_shop,CLM_000033
CLM_000033,BRO_000252,policy_sold_by,CLM_000033
CLM_000033,ADJ_000253,handled_by,CLM_000033
CLA_000254,CLM_000034,filed_claim,CLM_000034
CLA_000254,ADD_000256,lives_at,CLM_000034
CLA_000254,PHO_000257,uses_phone,CLM_000034
CLM_000034,VEH_000255,involves_vehicle,CLM_000034
CLM_000034,REP_000258,used_repair_shop,CLM_000034
CLM_000034,BRO_000259,policy_sold_by,CLM_000034
CLM_000034,ADJ_000260,handled_by,CLM_000034
CLA_000261,CLM_000035,filed_claim,CLM_000035
CLA_000261,ADD_000263,lives_at,CLM_000035
CLA_000261,PHO_000264,uses_phone,CLM_000035
CLM_000035,VEH_000262,involves_vehicle,CLM_000035
CLM_000035,REP_000265,used_repair_shop,CLM_000035
CLM_000035,BRO_000266,policy_sold_by,CLM_000035
CLM_000035,ADJ_000267,handled_by,CLM_000035
CLM_000035,MED_000268,visited_clinic,CLM_000035
CLA_000269,CLM_000036,filed_claim,CLM_000036
CLA_000269,ADD_000271,lives_at,CLM_000036
CLA_000269,PHO_000272,uses_phone,CLM_000036
CLM_000036,VEH_000270,involves_vehicle,CLM_000036
CLM_000036,REP_000273,used_repair_shop,CLM_000036
CLM_000036,BRO_000274,policy_sold_by,CLM_000036
CLM_000036,ADJ_000275,handled_by,CLM_000036
CLM_000036,TOW_000276,used_tow_company,CLM_000036
CLA_000277,CLM_000037,filed_claim,CLM_000037
CLA_000277,ADD_000279,lives_at,CLM_000037
CLA_000277,PHO_000280,uses_phone,CLM_000037
CLM_000037,VEH_000278,involves_vehicle,CLM_000037
CLM_000037,REP_000281,used_repair_shop,CLM_000037
CLM_000037,BRO_000282,policy_sold_by,CLM_000037
CLM_000037,ADJ_000283,handled_by,CLM_000037
CLM_000037,TOW_000284,used_tow_company,CLM_000037
CLA_000285,CLM_000038,filed_claim,CLM_000038
CLA_000285,ADD_000287,lives_at,CLM_000038
CLA_000285,PHO_000288,uses_phone,CLM_000038
CLM_000038,VEH_000286,involves_vehicle,CLM_000038
CLM_000038,REP_000289,used_repair_shop,CLM_000038
CLM_000038,BRO_000290,policy_sold_by,CLM_000038
CLM_000038,ADJ_000291,handled_by,CLM_000038
CLM_000038,WIT_000292,witnessed_by,CLM_000038
CLA_000293,CLM_000039,filed_claim,CLM_000039
CLA_000293,ADD_000295,lives_at,CLM_000039
CLA_000293,PHO_000296,uses_phone,CLM_000039
CLM_000039,VEH_000294,involves_vehicle,CLM_000039
CLM_000039,REP_000297,used_repair_shop,CLM_000039
CLM_000039,BRO_000298,policy_sold_by,CLM_000039
CLM_000039,ADJ_000299,handled_by,CLM_000039
CLM_000039,TOW_000300,used_tow_company,CLM_000039
CLM_000039,WIT_000301,witnessed_by,CLM_000039
CLA_000302,CLM_000040,filed_claim,CLM_000040
CLA_000302,ADD_000304,lives_at,CLM_000040
CLA_000302,PHO_000305,uses_phone,CLM_000040
CLM_000040,VEH_000303,involves_vehicle,CLM_000040
CLM_000040,REP_000306,used_repair_shop,CLM_000040
CLM_000040,BRO_000307,policy_sold_by,CLM_000040
CLM_000040,ADJ_000308,handled_by,CLM_000040
CLM_000040,TOW_000309,used_tow_company,CLM_000040
CLA_000310,CLM_000041,filed_claim,CLM_000041
CLA_000310,ADD_000312,lives_at,CLM_000041
CLA_000310,PHO_000313,uses_phone,CLM_000041
CLM_000041,VEH_000311,involves_vehicle,CLM_000041
CLM_000041,REP_000314,used_repair_shop,CLM_000041
CLM_000041,BRO_000315,policy_sold_by,CLM_000041
CLM_000041,ADJ_000316,handled_by,CLM_000041
CLM_000041,WIT_000317,witnessed_by,CLM_000041
CLA_000318,CLM_000042,filed_claim,CLM_000042
CLA_000318,ADD_000320,lives_at,CLM_000042
CLA_000318,PHO_000321,uses_phone,CLM_000042
CLM_000042,VEH_000319,involves_vehicle,CLM_000042
CLM_000042,REP_000322,used_repair_shop,CLM_000042
CLM_000042,BRO_000323,policy_sold_by,CLM_000042
CLM_000042,ADJ_000324,handled_by,CLM_000042
CLM_000042,WIT_000325,witnessed_by,CLM_000042
CLA_000326,CLM_000043,filed_claim,CLM_000043
CLA_000326,ADD_000328,lives_at,CLM_000043
CLA_000326,PHO_000329,uses_phone,CLM_000043
CLM_000043,VEH_000327,involves_vehicle,CLM_000043
CLM_000043,REP_000330,used_repair_shop,CLM_000043
CLM_000043,BRO_000331,policy_sold_by,CLM_000043
CLM_000043,ADJ_000332,handled_by,CLM_000043
CLA_000333,CLM_000044,filed_claim,CLM_000044
CLA_000333,ADD_000335,lives_at,CLM_000044
CLA_000333,PHO_000336,uses_phone,CLM_000044
CLM_000044,VEH_000334,involves_vehicle,CLM_000044
CLM_000044,REP_000337,used_repair_shop,CLM_000044
CLM_000044,BRO_000338,policy_sold_by,CLM_000044
CLM_000044,ADJ_000339,handled_by,CLM_000044
CLM_000044,WIT_000340,witnessed_by,CLM_000044
CLA_000341,CLM_000045,filed_claim,CLM_000045
CLA_000341,ADD_000343,lives_at,CLM_000045
CLA_000341,PHO_000344,uses_phone,CLM_000045
CLM_000045,VEH_000342,involves_vehicle,CLM_000045
CLM_000045,REP_000345,used_repair_shop,CLM_000045
CLM_000045,BRO_000346,policy_sold_by,CLM_000045
CLM_000045,ADJ_000347,handled_by,CLM_000045
CLA_000348,CLM_000046,filed_claim,CLM_000046
CLA_000348,ADD_000350,lives_at,CLM_000046
CLA_000348,PHO_000351,uses_phone,CLM_000046
CLM_000046,VEH_000349,involves_vehicle,CLM_000046
CLM_000046,REP_000352,used_repair_shop,CLM_000046
CLM_000046,BRO_000353,policy_sold_by,CLM_000046
CLM_000046,ADJ_000354,handled_by,CLM_000046
CLA_000355,CLM_000047,filed_claim,CLM_000047
CLA_000355,ADD_000357,lives_at,CLM_000047
CLA_000355,PHO_000358,uses_phone,CLM_000047
CLM_000047,VEH_000356,involves_vehicle,CLM_000047
CLM_000047,REP_000359,used_repair_shop,CLM_000047
CLM_000047,BRO_000360,policy_sold_by,CLM_000047
CLM_000047,ADJ_000361,handled_by,CLM_000047
CLM_000047,WIT_000362,witnessed_by,CLM_000047
CLA_000363,CLM_000048,filed_claim,CLM_000048
CLA_000363,ADD_000365,lives_at,CLM_000048
CLA_000363,PHO_000366,uses_phone,CLM_000048
CLM_000048,VEH_000364,involves_vehicle,CLM_000048
CLM_000048,REP_000367,used_repair_shop,CLM_000048
CLM_000048,BRO_000368,policy_sold_by,CLM_000048
CLM_000048,ADJ_000369,handled_by,CLM_000048
CLM_000048,TOW_000370,used_tow_company,CLM_000048
CLM_000048,WIT_000371,witnessed_by,CLM_000048
CLA_000372,CLM_000049,filed_claim,CLM_000049
CLA_000372,ADD_000374,lives_at,CLM_000049
CLA_000372,PHO_000375,uses_phone,CLM_000049
CLM_000049,VEH_000373,involves_vehicle,CLM_000049
CLM_000049,REP_000376,used_repair_shop,CLM_000049
CLM_000049,BRO_000377,policy_sold_by,CLM_000049
CLM_000049,ADJ_000378,handled_by,CLM_000049
CLM_000049,MED_000379,visited_clinic,CLM_000049
CLM_000049,WIT_000380,witnessed_by,CLM_000049
CLA_000381,CLM_000050,filed_claim,CLM_000050
CLA_000381,ADD_000383,lives_at,CLM_000050
CLA_000381,PHO_000384,uses_phone,CLM_000050
CLM_000050,VEH_000382,involves_vehicle,CLM_000050
CLM_000050,REP_000385,used_repair_shop,CLM_000050
CLM_000050,BRO_000386,policy_sold_by,CLM_000050
CLM_000050,ADJ_000387,handled_by,CLM_000050
CLM_000050,MED_000388,visited_clinic,CLM_000050
CLA_000389,CLM_000051,filed_claim,CLM_000051
CLA_000389,ADD_000391,lives_at,CLM_000051
CLA_000389,PHO_000392,uses_phone,CLM_000051
CLM_000051,VEH_000390,involves_vehicle,CLM_000051
CLM_000051,REP_000393,used_repair_shop,CLM_000051
CLM_000051,BRO_000394,policy_sold_by,CLM_000051
CLM_000051,ADJ_000395,handled_by,CLM_000051
CLM_000051,TOW_000396,used_tow_company,CLM_000051
CLM_000051,WIT_000397,witnessed_by,CLM_000051
CLA_000398,CLM_000052,filed_claim,CLM_000052
CLA_000398,ADD_000400,lives_at,CLM_000052
CLA_000398,PHO_000401,uses_phone,CLM_000052
CLM_000052,VEH_000399,involves_vehicle,CLM_000052
CLM_000052,REP_000402,used_repair_shop,CLM_000052
CLM_000052,BRO_000403,policy_sold_by,CLM_000052
CLM_000052,ADJ_000404,handled_by,CLM_000052
CLM_000052,TOW_000405,used_tow_company,CLM_000052
CLM_000052,WIT_000406,witnessed_by,CLM_000052
CLA_000407,CLM_000053,filed_claim,CLM_000053
CLA_000407,ADD_000409,lives_at,CLM_000053
CLA_000407,PHO_000410,uses_phone,CLM_000053
CLM_000053,VEH_000408,involves_vehicle,CLM_000053
CLM_000053,REP_000411,used_repair_shop,CLM_000053
CLM_000053,BRO_000412,policy_sold_by,CLM_000053
CLM_000053,ADJ_000413,handled_by,CLM_000053
CLM_000053,WIT_000414,witnessed_by,CLM_000053
CLA_000415,CLM_000054,filed_claim,CLM_000054
CLA_000415,ADD_000417,lives_at,CLM_000054
CLA_000415,PHO_000418,uses_phone,CLM_000054
CLM_000054,VEH_000416,involves_vehicle,CLM_000054
CLM_000054,REP_000419,used_repair_shop,CLM_000054
CLM_000054,BRO_000420,policy_sold_by,CLM_000054
CLM_000054,ADJ_000421,handled_by,CLM_000054
CLA_000422,CLM_000055,filed_claim,CLM_000055
CLA_000422,ADD_000424,lives_at,CLM_000055
CLA_000422,PHO_000425,uses_phone,CLM_000055
CLM_000055,VEH_000423,involves_vehicle,CLM_000055
CLM_000055,REP_000426,used_repair_shop,CLM_000055
CLM_000055,BRO_000427,policy_sold_by,CLM_000055
CLM_000055,ADJ_000428,handled_by,CLM_000055
CLA_000429,CLM_000056,filed_claim,CLM_000056
CLA_000429,ADD_000431,lives_at,CLM_000056
CLA_000429,PHO_000432,uses_phone,CLM_000056
CLM_000056,VEH_000430,involves_vehicle,CLM_000056
CLM_000056,REP_000433,used_repair_shop,CLM_000056
CLM_000056,BRO_000434,policy_sold_by,CLM_000056
CLM_000056,ADJ_000435,handled_by,CLM_000056
CLM_000056,WIT_000436,witnessed_by,CLM_000056
CLA_000437,CLM_000057,filed_claim,CLM_000057
CLA_000437,ADD_000439,lives_at,CLM_000057
CLA_000437,PHO_000440,uses_phone,CLM_000057
CLM_000057,VEH_000438,involves_vehicle,CLM_000057
CLM_000057,REP_000441,used_repair_shop,CLM_000057
CLM_000057,BRO_000442,policy_sold_by,CLM_000057
CLM_000057,ADJ_000443,handled_by,CLM_000057
CLM_000057,TOW_000444,used_tow_company,CLM_000057
CLA_000445,CLM_000058,filed_claim,CLM_000058
CLA_000445,ADD_000447,lives_at,CLM_000058
CLA_000445,PHO_000448,uses_phone,CLM_000058
CLM_000058,VEH_000446,involves_vehicle,CLM_000058
CLM_000058,REP_000449,used_repair_shop,CLM_000058
CLM_000058,BRO_000450,policy_sold_by,CLM_000058
CLM_000058,ADJ_000451,handled_by,CLM_000058
CLM_000058,TOW_000452,used_tow_company,CLM_000058
CLA_000453,CLM_000059,filed_claim,CLM_000059
CLA_000453,ADD_000455,lives_at,CLM_000059
CLA_000453,PHO_000456,uses_phone,CLM_000059
CLM_000059,VEH_000454,involves_vehicle,CLM_000059
CLM_000059,REP_000457,used_repair_shop,CLM_000059
CLM_000059,BRO_000458,policy_sold_by,CLM_000059
CLM_000059,ADJ_000459,handled_by,CLM_000059
CLM_000059,MED_000460,visited_clinic,CLM_000059
CLM_000059,WIT_000461,witnessed_by,CLM_000059
CLA_000462,CLM_000060,filed_claim,CLM_000060
CLA_000462,ADD_000464,lives_at,CLM_000060
CLA_000462,PHO_000465,uses_phone,CLM_000060
CLM_000060,VEH_000463,involves_vehicle,CLM_000060
CLM_000060,REP_000466,used_repair_shop,CLM_000060
CLM_000060,BRO_000467,policy_sold_by,CLM_000060
CLM_000060,ADJ_000468,handled_by,CLM_000060
CLM_000060,MED_000469,visited_clinic,CLM_000060
CLA_000470,CLM_000061,filed_claim,CLM_000061
CLA_000470,ADD_000472,lives_at,CLM_000061
CLA_000470,PHO_000473,uses_phone,CLM_000061
CLM_000061,VEH_000471,involves_vehicle,CLM_000061
CLM_000061,REP_000474,used_repair_shop,CLM_000061
CLM_000061,BRO_000475,policy_sold_by,CLM_000061
CLM_000061,ADJ_000476,handled_by,CLM_000061
CLM_000061,MED_000477,visited_clinic,CLM_000061
CLM_000061,WIT_000478,witnessed_by,CLM_000061
CLA_000479,CLM_000062,filed_claim,CLM_000062
CLA_000479,ADD_000481,lives_at,CLM_000062
CLA_000479,PHO_000482,uses_phone,CLM_000062
CLM_000062,VEH_000480,involves_vehicle,CLM_000062
CLM_000062,REP_000483,used_repair_shop,CLM_000062
CLM_000062,BRO_000484,policy_sold_by,CLM_000062
CLM_000062,ADJ_000485,handled_by,CLM_000062
CLA_000486,CLM_000063,filed_claim,CLM_000063
CLA_000486,ADD_000488,lives_at,CLM_000063
CLA_000486,PHO_000489,uses_phone,CLM_000063
CLM_000063,VEH_000487,involves_vehicle,CLM_000063
CLM_000063,REP_000490,used_repair_shop,CLM_000063
CLM_000063,BRO_000491,policy_sold_by,CLM_000063
CLM_000063,ADJ_000492,handled_by,CLM_000063
CLM_000063,MED_000493,visited_clinic,CLM_000063
CLM_000063,TOW_000494,used_tow_company,CLM_000063
CLM_000063,WIT_000495,witnessed_by,CLM_000063
CLA_000496,CLM_000064,filed_claim,CLM_000064
CLA_000496,ADD_000498,lives_at,CLM_000064
CLA_000496,PHO_000499,uses_phone,CLM_000064
CLM_000064,VEH_000497,involves_vehicle,CLM_000064
CLM_000064,REP_000500,used_repair_shop,CLM_000064
CLM_000064,BRO_000501,policy_sold_by,CLM_000064
CLM_000064,ADJ_000502,handled_by,CLM_000064
CLM_000064,MED_000503,visited_clinic,CLM_000064
CLM_000064,LAW_000504,retained_lawyer,CLM_000064
CLM_000064,TOW_000505,used_tow_company,CLM_000064
CLA_000506,CLM_000065,filed_claim,CLM_000065
