claim_id,policy_id,claimant_id,vehicle_id,claim_amount,vehicle_value,claim_to_vehicle_ratio,claim_type,claim_date,accident_city,province,vehicle_make,vehicle_year,police_report,witness_present,injury_reported,fraud_label,fraud_ring_id
CLM_000037,POL_356150,CLA_000277,VEH_000278,7289.58,30872,0.24,Theft,2025-09-07,Brampton,ON,BMW,2019,0,0,0,0,
CLM_000038,POL_800305,CLA_000285,VEH_000286,9564.86,50858,0.19,Glass,2025-08-23,Mississauga,ON,Honda,2018,0,1,0,0,
CLM_000039,POL_262998,CLA_000293,VEH_000294,8553.35,15014,0.57,Theft,2025-09-10,Hamilton,ON,Hyundai,2020,0,1,0,0,
CLM_000040,POL_629959,CLA_000302,VEH_000303,4913.97,49565,0.1,Comprehensive,2025-10-11,Toronto,ON,Toyota,2023,1,0,0,0,
CLM_000041,POL_908577,CLA_000310,VEH_000311,571.48,10889,0.05,Injury,2024-09-11,Kitchener,ON,Honda,2024,0,1,0,0,
CLM_000042,POL_217308,CLA_000318,VEH_000319,5934.49,36028,0.16,Collision,2024-07-18,Brampton,ON,Tesla,2011,0,1,0,0,
CLM_000043,POL_550664,CLA_000326,VEH_000327,4517.59,46175,0.1,Injury,2026-05-14,Kitchener,ON,Ford,2011,1,0,0,0,
CLM_000044,POL_799330,CLA_000333,VEH_000334,10514.14,21767,0.48,Collision,2025-06-28,Cambridge,ON,Tesla,2014,0,1,0,0,
CLM_000045,POL_938742,CLA_000341,VEH_000342,12675.6,23514,0.54,Injury,2025-04-29,Toronto,ON,Honda,2020,1,0,0,0,
CLM_000046,POL_870763,CLA_000348,VEH_000349,4117.6,34982,0.12,Injury,2025-09-25,Brampton,ON,Mazda,2013,0,0,0,0,
CLM_000047,POL_333238,CLA_000355,VEH_000356,6859.75,10537,0.65,Injury,2025-03-11,Waterloo,ON,Ford,2017,0,1,0,0,
CLM_000048,POL_444207,CLA_000363,VEH_000364,9491.96,51255,0.19,Theft,2026-04-15,Kitchener,ON,Ford,2022,1,1,0,0,
CLM_000049,POL_220944,CLA_000372,VEH_000373,5574.66,29702,0.19,Theft,2025-12-25,Kitchener,ON,Toyota,2013,0,1,1,0,
CLM_000050,POL_735656,CLA_000381,VEH_000382,9207.19,59539,0.15,Glass,2026-02-27,Cambridge,ON,Tesla,2016,0,0,1,0,
CLM_000051,POL_645175,CLA_000389,VEH_000390,19342.83,54450,0.36,Glass,2024-07-22,Hamilton,ON,Ford,2023,1,1,0,0,
CLM_000052,POL_753425,CLA_000398,VEH_000399,10515.53,51531,0.2,Theft,2024-08-15,Mississauga,ON,Hyundai,2019,0,1,0,0,
CLM_000053,POL_521947,CLA_000407,VEH_000408,13764.62,51705,0.27,Theft,2024-12-05,Brampton,ON,Honda,2023,1,1,0,0,
CLM_000054,POL_282480,CLA_000415,VEH_000416,10168.29,32847,0.31,Glass,2024-11-20,Kitchener,ON,BMW,2010,0,0,0,0,
CLM_000055,POL_708158,CLA_000422,VEH_000423,7640.97,21774,0.35,Glass,2024-08-24,Waterloo,ON,BMW,2024,1,0,0,0,
CLM_000056,POL_932291,CLA_000429,VEH_000430,8974.12,22005,0.41,Injury,2024-08-20,Mississauga,ON,Ford,2020,1,1,0,0,
CLM_000057,POL_425498,CLA_000437,VEH_000438,11431.37,57226,0.2,Injury,2025-12-04,Brampton,ON,Toyota,2011,0,0,0,0,
CLM_000058,POL_905819,CLA_000445,VEH_000446,5057.18,39138,0.13,Collision,2025-03-16,Cambridge,ON,Hyundai,2016,0,0,0,0,
CLM_000059,POL_787926,CLA_000453,VEH_000454,7165.95,34191,0.21,Collision,2026-03-08,Cambridge,ON,Honda,2015,0,1,1,0,
CLM_000060,POL_361303,CLA_000462,VEH_000463,3273.62,38444,0.09,Collision,2025-03-15,Brampton,ON,Mazda,2024,1,0,1,0,
CLM_000061,POL_891937,CLA_000470,VEH_000471,5086.08,47023,0.11,Comprehensive,2024-10-06,Cambridge,ON,Mazda,2024,1,1,1,0,
CLM_000062,POL_571932,CLA_000479,VEH_000480,3522.18,56736,0.06,Theft,2025-10-15,Kitchener,ON,Mazda,2025,1,0,0,0,
CLM_000063,POL_345884,CLA_000486,VEH_000487,4983.45,13077,0.38,Theft,2025-07-17,Waterloo,ON,Tesla,2012,1,1,1,0,
CLM_000064,POL_324345,CLA_000496,VEH_000497,8394.1,53478,0.16,Collision,2025-04-27,Cambridge,ON,Ford,2024,1,0,1,0,
CLM_000065,POL_907189,CLA_000506,VEH_000507,11464.47,35534,0.32,Glass,2024-07-13,Toronto,ON,Mazda,2022,0,1,1,0,
CLM_000066,POL_508930,CLA_000516,VEH_000517,8043.36,31052,0.26,Comprehensive,2024-12-21,Hamilton,ON,BMW,2017,1,1,0,0,
CLM_000067,POL_812131,CLA_000524,VEH_000525,9552.67,33484,0.29,Comprehensive,2026-01-07,London,ON,Honda,2010,1,1,1,0,
CLM_000068,POL_128418,CLA_000533,VEH_000534,20825.03,46790,0.45,Collision,2024-09-05,Cambridge,ON,Honda,2024,1,1,0,0,
CLM_000069,POL_442722,CLA_000541,VEH_000542,5297.27,29453,0.18,Theft,2025-06-02,Kitchener,ON,Mazda,2023,1,0,1,0,
CLM_000070,POL_885408,CLA_000551,VEH_000552,5068.96,13367,0.38,Glass,2026-05-03,Waterloo,ON,Honda,2012,1,0,0,0,
CLM_000071,POL_132537,CLA_000559,VEH_000560,3964.78,50713,0.08,Injury,2025-12-03,Toronto,ON,Tesla,2014,0,0,0,0,
CLM_000072,POL_691364,CLA_000566,VEH_000567,14748.89,39035,0.38,Injury,2025-03-06,Kitchener,ON,Mazda,2021,0,1,0,0,
CLM_000073,POL_853252,CLA_000575,VEH_000576,8308.75,47796,0.17,Collision,2026-01-09,Kitchener,ON,Toyota,2010,1,0,0,0,
CLM_000074,POL_493537,CLA_000583,VEH_000584,5662.49,45735,0.12,Comprehensive,2025-12-04,Mississauga,ON,Tesla,2017,1,1,0,0,
CLM_000075,POL_817497,CLA_000591,VEH_000592,5630.86,58625,0.1,Glass,2026-02-22,Toronto,ON,Ford,2023,0,0,0,0,
CLM_000076,POL_457806,CLA_000599,VEH_000600,5059.84,12519,0.4,Collision,2025-04-21,London,ON,Toyota,2023,1,0,0,0,
CLM_000077,POL_556641,CLA_000606,VEH_000607,4187.41,38129,0.11,Injury,2025-01-07,Kitchener,ON,Tesla,2025,0,1,1,0,
CLM_000078,POL_437960,CLA_000615,VEH_000616,6741.41,55908,0.12,Injury,2026-03-29,Kitchener,ON,BMW,2017,1,0,0,0,
CLM_000079,POL_497399,CLA_000622,VEH_000623,21640.09,45345,0.48,Theft,2026-05-27,London,ON,Mazda,2020,0,0,0,0,
CLM_000080,POL_370902,CLA_000629,VEH_000630,6534.77,21901,0.3,Theft,2025-09-12,Kitchener,ON,Tesla,2010,1,0,0,0,
CLM_000081,POL_855053,CLA_000637,VEH_000638,2255.85,20521,0.11,Comprehensive,2025-02-10,Hamilton,ON,Hyundai,2025,1,0,0,0,
CLM_000082,POL_118080,CLA_000644,VEH_000645,12407.4,40166,0.31,Collision,2025-08-28,Hamilton,ON,BMW,2017,1,0,0,0,
CLM_000083,POL_680358,CLA_000651,VEH_000652,14216.99,46112,0.31,Glass,2025-07-08,Cambridge,ON,Hyundai,2020,1,0,0,0,
CLM_000084,POL_363615,CLA_000658,VEH_000659,3690.15,37736,0.1,Injury,2026-02-22,Hamilton,ON,Ford,2013,1,0,0,0,
CLM_000085,POL_300845,CLA_000665,VEH_000666,4722.86,57950,0.08,Injury,2025-02-15,Kitchener,ON,Hyundai,2019,0,1,0,0,
CLM_000086,POL_478411,CLA_000673,VEH_000674,5333.02,20721,0.26,Injury,2025-08-20,Toronto,ON,Hyundai,2014,1,0,0,0,
CLM_000087,POL_232413,CLA_000680,VEH_000681,11265.0,44264,0.25,Comprehensive,2026-03-12,Toronto,ON,Tesla,2019,1,0,1,0,
CLM_000088,POL_153872,CLA_000688,VEH_000689,4101.88,36866,0.11,Theft,2025-02-21,Mississauga,ON,Mazda,2012,0,1,0,0,
CLM_000089,POL_259097,CLA_000696,VEH_000697,9457.33,49251,0.19,Injury,2024-11-26,Kitchener,ON,Toyota,2017,0,1,1,0,
CLM_000090,POL_725084,CLA_000706,VEH_000707,5753.22,58098,0.1,Glass,2025-11-06,Cambridge,ON,BMW,2024,0,1,0,0,
CLM_000091,POL_751194,CLA_000715,VEH_000716,9522.75,36103,0.26,Collision,2024-10-09,Mississauga,ON,Mazda,2016,1,0,1,0,
CLM_000092,POL_282256,CLA_000723,VEH_000724,2130.4,13320,0.16,Glass,2026-04-10,Brampton,ON,Toyota,2023,1,1,1,0,
CLM_000093,POL_134225,CLA_000733,VEH_000734,12222.23,46916,0.26,Injury,2025-09-03,Kitchener,ON,Hyundai,2024,1,0,0,0,
CLM_000094,POL_926097,CLA_000740,VEH_000741,11335.6,23297,0.49,Glass,2024-08-17,Hamilton,ON,BMW,2013,1,0,0,0,
CLM_000095,POL_378535,CLA_000748,VEH_000749,7188.77,50443,0.14,Injury,2026-04-13,Toronto,ON,Honda,2019,1,1,0,0,
CLM_000096,POL_591465,CLA_000756,VEH_000757,9619.26,26914,0.36,Theft,2024-07-09,Cambridge,ON,Ford,2025,1,0,1,0,
CLM_000097,POL_553014,CLA_000764,VEH_000765,3676.38,47192,0.08,Theft,2024-10-15,Kitchener,ON,Toyota,2012,0,1,0,0,
CLM_000098,POL_703139,CLA_000772,VEH_000773,6831.87,52190,0.13,Glass,2026-06-04,Kitchener,ON,Tesla,2011,0,1,0,0,
CLM_000099,POL_783157,CLA_000781,VEH_000782,7390.13,19481,0.38,Comprehensive,2025-09-14,Brampton,ON,Tesla,2023,1,1,0,0,
CLM_000100,POL_592841,CLA_000789,VEH_000790,11241.15,40225,0.28,Theft,2025-05-03,Waterloo,ON,Ford,2013,0,0,0,0,
CLM_000101,POL_619536,CLA_000796,VEH_000797,10014.02,29614,0.34,Theft,2024-08-16,Cambridge,ON,Mazda,2011,0,1,0,0,
CLM_000102,POL_221552,CLA_000804,VEH_000805,6485.75,28612,0.23,Comprehensive,2025-01-15,Toronto,ON,Hyundai,2024,1,0,0,0,
CLM_000103,POL_752878,CLA_000811,VEH_000812,5146.01,20293,0.25,Comprehensive,2024-09-23,London,ON,Mazda,2011,0,1,0,0,
CLM_000104,POL_832168,CLA_000819,VEH_000820,6790.21,26876,0.25,Comprehensive,2026-02-21,Toronto,ON,Hyundai,2017,0,0,1,0,
CLM_000105,POL_679077,CLA_000827,VEH_000828,6253.7,28365,0.22,Comprehensive,2026-03-22,Hamilton,ON,Mazda,2013,0,1,0,0,
CLM_000106,POL_851413,CLA_000835,VEH_000836,7215.43,18090,0.4,Theft,2025-01-20,Kitchener,ON,BMW,2025,0,0,1,0,
CLM_000107,POL_299869,CLA_000844,VEH_000845,5458.1,44127,0.12,Glass,2025-01-21,Brampton,ON,Mazda,2012,1,1,1,0,
CLM_000108,POL_456385,CLA_000854,VEH_000855,7205.53,59773,0.12,Glass,2025-09-25,Toronto,ON,Ford,2019,1,0,0,0,
CLM_000109,POL_613425,CLA_000862,VEH_000863,8021.0,46005,0.17,Injury,2025-03-25,London,ON,Ford,2020,0,0,0,0,
CLM_000110,POL_437408,CLA_000869,VEH_000870,6913.54,43614,0.16,Injury,2024-07-11,Hamilton,ON,Tesla,2022,1,0,0,0,
CLM_000111,POL_433632,CLA_000876,VEH_000877,7632.59,58826,0.13,Comprehensive,2024-07-03,Cambridge,ON,BMW,2014,0,0,0,0,
CLM_000112,POL_448121,CLA_000884,VEH_000885,10106.57,40918,0.25,Collision,2025-04-01,Mississauga,ON,Tesla,2024,1,0,1,0,
CLM_000113,POL_786587,CLA_000893,VEH_000894,5879.38,17447,0.34,Injury,2026-04-10,London,ON,Mazda,2018,0,1,0,0,
CLM_000114,POL_184216,CLA_000902,VEH_000903,8159.4,53397,0.15,Theft,2024-08-04,Cambridge,ON,Ford,2025,1,1,0,0,
CLM_000115,POL_346174,CLA_000910,VEH_000911,4991.96,10352,0.48,Theft,2025-11-05,Mississauga,ON,BMW,2013,1,1,0,0,
CLM_000116,POL_827712,CLA_000918,VEH_000919,5259.35,14586,0.36,Theft,2026-05-27,Toronto,ON,Ford,2011,0,0,1,0,
CLM_000117,POL_532067,CLA_000926,VEH_000927,3875.26,17540,0.22,Glass,2024-07-27,Brampton,ON,Honda,2015,0,1,1,0,
CLM_000118,POL_352528,CLA_000935,VEH_000936,5194.92,33070,0.16,Comprehensive,2024-11-05,Brampton,ON,Honda,2024,0,0,0,0,
CLM_000119,POL_109853,CLA_000943,VEH_000944,8718.68,38118,0.23,Comprehensive,2025-09-04,Brampton,ON,Toyota,2024,0,0,0,0,
CLM_000120,POL_544920,CLA_000950,VEH_000951,13726.78,27605,0.5,Theft,2025-03-15,Kitchener,ON,Honda,2022,0,1,1,0,
CLM_000121,POL_702733,CLA_000959,VEH_000960,3920.1,32993,0.12,Theft,2024-07-09,Kitchener,ON,Toyota,2022,1,1,1,0,
CLM_000122,POL_151426,CLA_000969,VEH_000970,22187.9,52944,0.42,Glass,2025-02-02,Kitchener,ON,Mazda,2017,0,0,1,0,
CLM_000123,POL_299367,CLA_000977,VEH_000978,3158.26,31089,0.1,Glass,2025-10-12,Brampton,ON,Hyundai,2013,1,1,0,0,
CLM_000124,POL_134985,CLA_000985,VEH_000986,17004.86,28246,0.6,Glass,2025-06-17,Brampton,ON,Toyota,2019,1,1,1,0,
CLM_000125,POL_238579,CLA_000994,VEH_000995,6092.96,35230,0.17,Glass,2025-06-16,Kitchener,ON,Mazda,2015,1,0,0,0,
CLM_000126,POL_409478,CLA_001001,VEH_001002,8315.19,39578,0.21,Theft,2026-02-28,London,ON,Toyota,2014,0,1,1,0,
CLM_000127,POL_859396,CLA_001010,VEH_001011,8657.34,22785,0.38,Comprehensive,2024-12-02,Waterloo,ON,Toyota,2022,0,0,0,0,
CLM_000128,POL_486490,CLA_001017,VEH_001018,5892.41,43164,0.14,Theft,2024-11-04,Cambridge,ON,Mazda,2021,0,0,0,0,
CLM_000129,POL_749641,CLA_001025,VEH_001026,8863.53,23323,0.38,Glass,2025-07-25,Hamilton,ON,Hyundai,2012,1,1,0,0,
CLM_000130,POL_528129,CLA_001034,VEH_001035,8635.36,53945,0.16,Collision,2026-02-02,Toronto,ON,Toyota,2019,1,0,1,0,
CLM_000131,POL_242254,CLA_001042,VEH_001043,11555.96,23387,0.49,Comprehensive,2025-03-18,Waterloo,ON,Hyundai,2023,1,0,1,0,
CLM_000132,POL_535037,CLA_001051,VEH_001052,8796.88,55618,0.16,Collision,2025-02-09,Cambridge,ON,Ford,2011,0,0,0,0,
CLM_000133,POL_347582,CLA_001058,VEH_001059,4226.83,22238,0.19,Theft,2026-03-16,Waterloo,ON,Tesla,2021,1,0,0,0,
CLM_000134,POL_228093,CLA_001065,VEH_001066,2639.7,26080,0.1,Comprehensive,2026-03-24,Hamilton,ON,Hyundai,2010,1,0,0,0,
CLM_000135,POL_232040,CLA_001073,VEH_001074,3175.24,29856,0.11,Glass,2025-11-27,Mississauga,ON,Mazda,2016,1,0,0,0,
CLM_000136,POL_254721,CLA_001081,VEH_001082,6515.13,23269,0.28,Glass,2026-06-23,Kitchener,ON,Mazda,2014,0,0,1,0,
CLM_000137,POL_282973,CLA_001089,VEH_001090,9785.55,43403,0.23,Collision,2024-08-18,Toronto,ON,Honda,2010,0,0,0,0,
CLM_000138,POL_439498,CLA_001096,VEH_001097,4832.24,59670,0.08,Collision,2025-12-29,Kitchener,ON,Toyota,2014,1,1,0,0,
CLM_000139,POL_166645,CLA_001104,VEH_001105,5503.09,42477,0.13,Comprehensive,2025-03-23,Waterloo,ON,Tesla,2013,0,0,0,0,
CLM_000140,POL_145471,CLA_001111,VEH_001112,5239.18,22519,0.23,Glass,2025-08-21,London,ON,Hyundai,2010,1,0,0,0,
CLM_000141,POL_546980,CLA_001118,VEH_001119,23875.28,39390,0.61,Collision,2025-02-08,London,ON,Toyota,2012,0,0,0,0,
CLM_000142,POL_763829,CLA_001126,VEH_001127,3945.66,16270,0.24,Glass,2024-12-11,Waterloo,ON,BMW,2019,0,0,1,0,
CLM_000143,POL_219971,CLA_001135,VEH_001136,7617.62,14499,0.53,Glass,2025-11-17,Cambridge,ON,BMW,2017,1,1,1,0,
CLM_000144,POL_865054,CLA_001144,VEH_001145,7175.78,37720,0.19,Collision,2025-08-09,Cambridge,ON,Ford,2018,0,0,0,0,
CLM_000145,POL_597305,CLA_001151,VEH_001152,3521.51,18003,0.2,Collision,2026-03-24,Mississauga,ON,Toyota,2023,1,0,0,0,
CLM_000146,POL_236435,CLA_001158,VEH_001159,17184.81,56417,0.3,Glass,2026-04-25,Waterloo,ON,Hyundai,2013,0,0,0,0,
CLM_000147,POL_543481,CLA_001166,VEH_001167,36575.74,51603,0.71,Collision,2025-09-04,Kitchener,ON,Ford,2013,0,1,0,0,
CLM_000148,POL_605612,CLA_001174,VEH_001175,3473.66,21942,0.16,Injury,2026-03-07,Waterloo,ON,Mazda,2021,0,0,0,0,
CLM_000149,POL_946432,CLA_001181,VEH_001182,5678.17,26256,0.22,Comprehensive,2024-11-28,Toronto,ON,Tesla,2018,0,0,0,0,
CLM_000150,POL_456331,CLA_001189,VEH_001190,4470.02,57965,0.08,Theft,2026-06-19,Brampton,ON,Mazda,2014,1,0,1,0,
CLM_000151,POL_132146,CLA_001199,VEH_001200,8455.33,17297,0.49,Collision,2024-12-29,Hamilton,ON,BMW,2023,1,0,1,0,
CLM_000152,POL_856648,CLA_001207,VEH_001208,5045.71,18315,0.28,Theft,2024-11-21,Mississauga,ON,Toyota,2014,0,0,0,0,
CLM_000153,POL_185544,CLA_001214,VEH_001215,4113.59,48490,0.08,Theft,2025-03-29,Cambridge,ON,BMW,2024,0,0,0,0,
CLM_000154,POL_550797,CLA_001222,VEH_001223,5391.38,41577,0.13,Collision,2025-09-08,London,ON,Tesla,2019,0,0,1,0,
CLM_000155,POL_157443,CLA_001231,VEH_001232,5665.48,33903,0.17,Collision,2025-11-28,Kitchener,ON,Honda,2014,0,0,0,0,
CLM_000156,POL_108105,CLA_001239,VEH_001240,6198.61,26969,0.23,Comprehensive,2025-04-11,Brampton,ON,Honda,2022,1,0,0,0,
CLM_000157,POL_973835,CLA_001246,VEH_001247,9236.24,23080,0.4,Theft,2026-04-13,Cambridge,ON,Mazda,2011,0,0,0,0,
CLM_000158,POL_428267,CLA_001253,VEH_001254,7882.25,38130,0.21,Glass,2025-04-12,Cambridge,ON,Hyundai,2023,1,1,0,0,
CLM_000159,POL_748151,CLA_001261,VEH_001262,4987.39,29284,0.17,Comprehensive,2024-07-19,Waterloo,ON,Toyota,2023,1,0,1,0,
CLM_000160,POL_519902,CLA_001269,VEH_001270,4733.14,23945,0.2,Glass,2026-04-06,Cambridge,ON,Mazda,2019,0,0,0,0,
CLM_000161,POL_635280,CLA_001276,VEH_001277,5325.21,59060,0.09,Collision,2024-12-29,Hamilton,ON,Mazda,2021,1,0,1,0,
CLM_000162,POL_347745,CLA_001285,VEH_001286,3002.84,50299,0.06,Collision,2026-01-27,Kitchener,ON,Honda,2015,1,0,0,0,
CLM_000163,POL_179013,CLA_001292,VEH_001293,7813.87,57821,0.14,Injury,2024-09-20,London,ON,BMW,2024,1,0,0,0,
CLM_000164,POL_754858,CLA_001299,VEH_001300,4162.79,44994,0.09,Theft,2024-09-21,Waterloo,ON,Honda,2024,0,0,0,0,
CLM_000165,POL_935012,CLA_001306,VEH_001307,14093.39,36980,0.38,Theft,2024-10-28,Toronto,ON,Ford,2012,0,1,0,0,
CLM_000166,POL_486649,CLA_001315,VEH_001316,2871.04,37616,0.08,Theft,2026-04-08,Mississauga,ON,Tesla,2022,1,1,0,0,
CLM_000167,POL_874814,CLA_001323,VEH_001324,11129.89,44327,0.25,Collision,2025-03-22,Hamilton,ON,Ford,2025,1,0,0,0,
CLM_000168,POL_978053,CLA_001330,VEH_001331,4594.99,37525,0.12,Theft,2026-03-31,Brampton,ON,Toyota,2017,1,0,1,0,
CLM_000169,POL_266457,CLA_001338,VEH_001339,8498.33,42345,0.2,Theft,2025-06-09,Kitchener,ON,BMW,2023,1,0,1,0,
CLM_000170,POL_778748,CLA_001346,VEH_001347,6886.71,11431,0.6,Theft,2026-04-19,Waterloo,ON,Toyota,2022,1,0,1,0,
CLM_000171,POL_731977,CLA_001354,VEH_001355,10066.3,55430,0.18,Injury,2025-07-19,Mississauga,ON,Tesla,2014,1,0,0,0,
CLM_000172,POL_832409,CLA_001362,VEH_001363,6428.26,28331,0.23,Comprehensive,2026-02-13,Mississauga,ON,Ford,2022,1,0,0,0,
CLM_000173,POL_802667,CLA_001369,VEH_001370,2641.31,29527,0.09,Glass,2026-03-22,Cambridge,ON,Tesla,2021,1,1,0,0,
CLM_000174,POL_324597,CLA_001377,VEH_001378,4654.33,28241,0.16,Theft,2025-02-13,Hamilton,ON,Honda,2014,1,1,0,0,
CLM_000175,POL_206053,CLA_001386,VEH_001387,12786.86,27385,0.47,Glass,2024-12-20,Toronto,ON,Hyundai,2020,1,1,0,0,
CLM_000176,POL_495019,CLA_001395,VEH_001396,2401.56,48503,0.05,Injury,2026-01-10,Brampton,ON,Mazda,2015,1,0,0,0,
CLM_000177,POL_809217,CLA_001402,VEH_001403,3667.36,10863,0.34,Injury,2025-03-28,Kitchener,ON,Mazda,2024,1,0,0,0,
CLM_000178,POL_947903,CLA_001409,VEH_001410,6312.14,23674,0.27,Comprehensive,2025-12-09,Waterloo,ON,Hyundai,2024,1,1,0,0,
CLM_000179,POL_627335,CLA_001418,VEH_001419,12793.4,26466,0.48,Glass,2025-04-23,Brampton,ON,Mazda,2016,0,0,0,0,
CLM_000180,POL_154714,CLA_001425,VEH_001426,5060.16,17070,0.3,Comprehensive,2025-06-10,Mississauga,ON,Hyundai,2013,1,1,0,0,
CLM_000181,POL_571145,CLA_001433,VEH_001434,6985.34,58011,0.12,Glass,2026-01-26,Cambridge,ON,Toyota,2017,1,1,0,0,
